Designator,Mid X,Mid Y,Rotation,Layer
C1,10.2125,48.072613,60.0,top
C13,18.625,9.2,0.0,top
C2,15.241635,45.175,150.0,top
C23,-6.415,0.227,0.0,top
C25,-15.5,10.45,90.0,top
C26,-14.2,-1.25,90.0,top
C27,-14.08,10.0,180.0,top
C28,19.2,-2.6,270.0,top
C29,13.77,-5.8,0.0,top
C3,16.07883,49.3375,150.0,top
C30,-15.3375,44.23,90.0,top
C31,-1.6,5.52,270.0,top
C32,-3.708,5.52,270.0,top
C33,-5.816,5.52,270.0,top
C34,0.4,22.6,315.0,top
C35,-22.5,21.0,100.0,top
C36,12.92,5.4851,180.0,top
C37,12.92,4.0851,180.0,top
C38,12.92,2.6851,180.0,top
C4,-19.05,0.52,90.0,top
C40,12.92,1.2851,180.0,top
C41,10.72,4.0851,0.0,top
C42,10.72,2.6851,0.0,top
C43,10.72,1.2851,0.0,top
C44,-20.5,21.5,100.0,top
C45,-12.6,42.9,120.0,top
C46,-10.716394,43.9875,120.0,top
C47,-6.415,-2.573,180.0,top
C48,-4.255,-1.173,180.0,top
C52,-8.832789,45.075,120.0,top
C54,-6.4,-5.375,270.0,top
C56,-4.675,46.622724,120.0,top
C57,-6.949184,46.1625,120.0,top
D1,-11.4,-4.0,330.0,top
D2,-4.4328,56.2851,13.0,top
D3,-4.0328,51.6851,90.0,top
D4,9.5672,56.0851,347.0,top
D5,25.65,20.8,270.0,top
D6,-11.5,50.5,210.0,top
F1,25.65,27.9875,270.0,top
J1,17.967809051224947,51.4251,60.0,top
J2,-13.6328,24.4759,0.0,bottom
J3,15.0672,24.4809,0.0,bottom
L1,-20.16653,17.083799,110.0,top
L2,21.35,40.125,90.0,top
Q1,-20.213352,32.443957,70.0,top
R10,22.2,9.2,180.0,top
R16,-15.3375,39.340034,270.0,top
R17,-4.0328,54.6851,13.0,top
R19,-16.4,-0.72,270.0,top
R2,0.9672,47.9149,0.0,top
R20,-15.295,-1.24,270.0,top
R21,-6.415,-1.173,0.0,top
R22,-6.87,5.52,90.0,top
R23,-4.762,5.52,90.0,top
R24,-2.654,5.52,90.0,top
R25,-17.8,-0.74,90.0,top
R26,9.4703,54.3998,347.0,top
R28,-15.3375,42.24,90.0,top
R3,4.4572,47.9149,0.0,top
R31,17.8,-2.6,90.0,top
R32,-18.0,35.25,240.0,top
R33,-16.995,34.691673,60.0,top
R9,19.69,-0.8,0.0,top
SW1,-17.5,39.249999,90.0,top
SW2,-17.5,44.999999,90.0,top
U1,-13.8,4.2,180.0,top
U10,-3.6,-5.3375,270.0,top
U4,18.8922,3.1201,270.0,top
U8,2.3672,24.4759,225.0,top
U9,3.85,-1.2375,270.0,top
USB1,2.5672,52.8026,180.0,top
X1,14.1,-3.2,0.0,top
