Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,10uF-50V,C53084458
"C13, C3",0603,2,100nF,C14663
C2,2220,1,22uF-50V,C784103
"C23, C25, C26, C37, C40, C41",0402,6,1uF,C52923
"C27, C30, C34, C36, C38, C42, C43, C47, C48",0402,9,100nF,C307331
"C28, C29",0402,2,10pF,C32949
"C31, C32, C33",0402,3,22pF,C1555
"C35, C54",0603,2,22uF,C59461
"C44, C45, C46, C52, C56, C57",0805,6,10uF,C440198
D1,D_SOD-323,1,BZT52B5V1S,C19077434
D2,0603,1,LED,C2286
D3,D_SOD-323_HandSoldering,1,1N4148WS,C2128
D4,0603,1,LED,C72038
D5,D_SMA,1,SMAJ33CA,C19077549
D6,D_SMC,1,D_Schottky,C908690
L1,L_Changjiang_FTC303015D,1,47uH,C96151
L2,1206,1,BLM31PG330SN1,C74090
Q1,SOT-23,1,AO3401A,C15127
R10,0402,1,120,C25079
"R16, R2, R25, R3",0402,4,"5,1k",C25905
"R17, R22, R23, R24, R26, R31, R33",0402,7,330,C25104
"R19, R20",0402,2,100k,C25741
"R21, R28, R32, R9",0402,4,10k,C25744
"SW1, SW2",SW-SMD_BZCN_TSA002A35XXX,2,TSA002A3512A02,C2888932
U1,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,1,DRV8316CRRGFR,C5447274
U10,SOT-23-3,1,XC6206P332MR,C5446
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,C8963
U8,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,MT6701QT,C2913974
U9,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G474CEU6,C1235412
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,Crystal_GND24,C1669787
